hugo_symbol	Model_Score
ERG	0.9716173
CCDC6	0.97156215
LRP1B	0.9715365
CSMD3	0.97149426
FAT1	0.9714919
ASPM	0.9714827
NOTCH2	0.97147024
LRP1B	0.9714403
FAM47C	0.97137123
MYH11	0.9713646
PPP2R1A	0.9712511
SYNE1	0.97124165
COL3A1	0.9712296
PATZ1	0.9712282
GRIA2	0.97121316
CTNNB1	0.9711771
CSMD3	0.9711489
GABRG3	0.97111356
CSMD3	0.9711038
ERG	0.97107637
IMPG1	0.97107494
MUC16	0.9710477
PABPC1	0.9710017
PRR27	0.97099644
NBEA	0.97093725
ARMC9	0.9709005
GRIN3A	0.9708801
XPO1	0.9708596
GNAQ	0.9708557
TENT5A	0.97084415
ECHS1	0.97080946
ELL2	0.9707926
PATZ1	0.970777
DNAH11	0.9707589
CTNNA2	0.97073025
CADPS2	0.9706817
CCDC6	0.9706425
PDGFRA	0.97057265
AXIN1	0.9705693
ERG	0.9704952
CTNNB1	0.97049385
CSMD3	0.970463
IMPG1	0.97045594
PDGFRA	0.97045034
CTNNB1	0.9703772
HCN1	0.97035664
MUC16	0.9703557
MUC16	0.9703388
CTNNB1	0.97032565
PPP2R1A	0.9702622
IL1RAPL1	0.97020864
CTNNB1	0.9701875
STOML3	0.9701418
STOML3	0.9701177
CTNNB1	0.97009367
SH3RF1	0.9700666
CTNNB1	0.97001594
POLE	0.96999735
GNAQ	0.96999454
CTNNB1	0.96998805
MUC16	0.9699567
CTNNB1	0.96991074
CSMD3	0.96987855
DNMT3A	0.9697633
LRP1B	0.96974
FAT3	0.9696717
TSHZ2	0.9696596
SALL4	0.96963704
NOTCH2	0.96956116
EYA1	0.9694498
ALK	0.9693808
ASPM	0.9693079
KMT2D	0.96930647
ASPM	0.96928144
LRFN5	0.9692407
PAX7	0.9692325
ATRX	0.96922725
BRSK1	0.9692042
CTNND2	0.96919525
MUC16	0.9691927
NTRK3	0.9691836
PREX2	0.969159
NBEA	0.96914995
GRIA4	0.9691084
ADGRA1	0.96905893
ATRX	0.96902627
NTRK3	0.9690261
NTRK3	0.9690081
KCTD16	0.96895915
SIN3A	0.96892333
GATA3	0.9689067
MYH11	0.9688858
COL24A1	0.96881884
PPP3R2	0.9687609
MMP16	0.96874666
CSMD3	0.96871305
POLE	0.9686853
FANCM	0.96867067
IMPG1	0.96861327
ASPSCR1	0.9684897
FAM135B	0.9684466
PPP2R1A	0.9684451
FAM135B	0.9684297
SLAMF1	0.96839654
LRP1B	0.9683881
PTPRD	0.96827793
SLC35G2	0.968257
ERG	0.96824205
TRRAP	0.96820664
EPHA3	0.9682012
PPP2R1A	0.9681951
MUC16	0.9681177
MASTL	0.9680828
EPHA7	0.9680637
HGF	0.9680365
MUC16	0.9680358
MYO5A	0.9680137
FRMPD4	0.9680072
ADGRL2	0.96791863
ZNF292	0.96791744
VPS35	0.96791506
ATRX	0.9679068
POLE	0.96785915
PRAMEF1	0.9678362
ATR	0.96779656
CHEK2	0.9677552
PXDNL	0.96774447
TRIL	0.9677193
GNAQ	0.9676534
IKZF1	0.96765214
NEXMIF	0.96764874
CTNNB1	0.9676061
AMMECR1	0.9675934
NOTCH2	0.9675787
KMT2D	0.96751004
CCT6B	0.9674232
HOXA13	0.96740294
RAD17	0.9673484
XYLT1	0.9673437
ATP2B3	0.9672743
LRP1B	0.96725374
CACNA1B	0.96723086
PTPRT	0.96721053
LRP1B	0.9672047
PTPRD	0.96717685
PTPRD	0.9671688
STOML3	0.9671683
CD274	0.9671501
ZNF479	0.9671452
BICD1	0.9671011
ANK1	0.9670395
PDZRN3	0.96701497
KCNJ12	0.9670087
PAX7	0.9669323
TSHR	0.9668782
PTPRD	0.96686655
SALL4	0.96684915
MUC16	0.96677405
SWT1	0.9667344
FNIP1	0.96670634
ERG	0.9666912
FAT4	0.96668786
RUNX1T1	0.9666775
LRP1B	0.9666354
HECW2	0.966633
CCR4	0.96662176
CSMD3	0.9666213
TMEM63C	0.9665994
ZNF479	0.9665825
NPY1R	0.96655494
CSMD3	0.9665536
DIAPH2	0.9665518
CTNNB1	0.96653676
ZNF479	0.96651584
CSMD3	0.9665131
ERBB4	0.9664873
GOLGA1	0.9664562
PAH	0.96645296
ADGRL3	0.96644914
LSMEM2	0.96644485
CTNNB1	0.96639055
MUC16	0.96638674
GRIN2A	0.9663844
EVPL	0.96638215
FAT3	0.96636784
CDH18	0.96635777
ZNF18	0.9663482
PDGFRA	0.9663073
MEN1	0.9663024
CTNNB1	0.96629804
LEF1	0.96624523
GUCY1A2	0.96624136
NSD1	0.9662229
ESF1	0.9661906
NUDT12	0.9661732
NDRG1	0.9661671
ERBB4	0.9661346
CTNND2	0.9661314
ZMYM4	0.9661247
ATRX	0.9661059
RAP1GAP	0.9661038
FIP1L1	0.96610314
KCNB1	0.96609515
ANK1	0.9660918
CPS1	0.96596754
LTF	0.96595085
KMT2D	0.96574014
PLAA	0.9656642
CDH11	0.965631
ATRX	0.9656107
ERG	0.96560264
CSMD3	0.9655078
CNTNAP2	0.96549755
CORO2B	0.96548474
ZEB2	0.965387
CTNNB1	0.9653781
ANK1	0.9653527
PPP2R1A	0.96526146
PPIG	0.9652357
P2RY8	0.9651592
MBD5	0.96513206
RNF213	0.9651278
ANK1	0.9651272
ERG	0.96507955
ZNF521	0.96507317
GRIK3	0.96503896
TIMM17B	0.96501076
CTNNB1	0.9650065
RESF1	0.9650005
CSMD3	0.9649481
PAX5	0.964912
CCDC6	0.9648976
ANK1	0.9648943
CACNA1D	0.96483445
MUC16	0.96480095
CTNNB1	0.9647579
CTNNB1	0.96475786
NPAT	0.9647277
STAG2	0.9647251
UBR4	0.9646639
FAM47C	0.96464497
ROS1	0.9645726
TNC	0.96456295
KCND1	0.9645415
NALCN	0.96448576
KDR	0.96446973
HGF	0.96443313
PRAMEF1	0.964372
CSMD3	0.9643062
PDGFRA	0.9642779
KCNA10	0.9642681
CTNNB1	0.9642564
CSMD3	0.9642017
PDGFRA	0.96419954
RPN1	0.9641364
PCDHGA8	0.9640882
ATRX	0.9640666
IMPG1	0.96406585
ERG	0.9640107
SFRP4	0.963987
DNAH8	0.96393186
CSMD3	0.9639156
SETDB1	0.96388054
TNC	0.9638715
ATR	0.9637994
HERC2	0.96379936
CHL1	0.9637704
ATRX	0.96375877
SH3PXD2A	0.963753
ANK1	0.96362174
ATRX	0.9636167
SOS1	0.9635528
ANK1	0.9635368
MDGA1	0.96347106
TSHR	0.9634606
PLEC	0.9634384
EPHA7	0.9633695
MYH11	0.9632598
GRM3	0.9632576
SCN3A	0.9632338
EIF3E	0.9632131
USP9X	0.9631363
RNASE10	0.9631319
SLC25A12	0.96312195
SH3BGRL2	0.9630113
ERBB4	0.9630058
LRP1B	0.9629803
DPYD	0.96296734
BMPR1A	0.9629554
RSPO2	0.96294975
ANK1	0.9629338
DGKI	0.9629085
RANBP2	0.9629028
CSMD3	0.96288216
PTPRT	0.96287614
KLHL5	0.962791
ABHD17B	0.96277016
DCTN1	0.96270424
SEMA6D	0.9627006
CALN1	0.96259254
EPHA7	0.9625767
CFAP44	0.9625341
RSBN1	0.9625192
CTNNB1	0.9624398
PLEC	0.962408
KDM5C	0.9624069
FAM47C	0.96238214
BCOR	0.96237564
ANTXR1	0.96233535
PCDHB4	0.962315
ANK1	0.9623056
YOD1	0.96230316
ERG	0.96230215
ZBTB20	0.96227735
CSMD3	0.96226424
TRIM33	0.9622556
FAM47C	0.9621867
NOTCH2	0.96217144
FAT3	0.9621424
MUC16	0.9621403
MUC16	0.9621334
PTPRT	0.9620631
TBCK	0.96205676
SALL4	0.9620384
CSMD3	0.96201396
PDE4DIP	0.9620085
LHX3	0.9619784
MYT1L	0.9619173
PPP2R1A	0.9619065
SSMEM1	0.96190596
NBEA	0.96189797
ATRX	0.9617924
ANK1	0.96178925
OGT	0.96178925
EPHA7	0.9617675
IKZF2	0.9617438
CTNNB1	0.9617099
CTNNB1	0.96167874
ABCC5	0.96166325
RSPO2	0.96165174
RRM2	0.9616507
MYH11	0.96163774
MUC16	0.9616144
XPC	0.96156126
MUC16	0.961519
CSMD3	0.961492
MUC16	0.96149135
MUC16	0.9614233
MUC16	0.9613657
FAT3	0.961352
EIF1AX	0.9613506
TBX3	0.96128905
ERG	0.9612813
BDH1	0.9612574
ANK1	0.9612068
CHRDL1	0.9611819
TPH1	0.96117467
ZNF81	0.9611356
ANK1	0.9610743
DGCR8	0.9610598
ZFYVE28	0.9610594
GABRA4	0.96104914
MAGEC3	0.9610453
ZNF521	0.96102744
EPHA7	0.96101594
FLT3	0.96097577
KMT2C	0.9609757
SEMA3A	0.9609536
CTNNB1	0.9609401
ATRX	0.9609314
CTNND2	0.96091014
BCL11B	0.96088845
CTNNB1	0.9608379
TBX18	0.96077865
PPP2R1A	0.96075594
DLGAP2	0.96075034
MRE11	0.96071213
LMAN1	0.9605953
GPR171	0.9605731
PRKD1	0.96052045
POLE	0.96050155
DROSHA	0.9603882
MAP3K1	0.9603442
ERG	0.9603248
FBN3	0.96015483
ARHGAP35	0.9601339
HCN1	0.9600437
TTC5	0.9600248
CTNNB1	0.96000016
ERBB4	0.9599559
ERBB4	0.95991683
ANK1	0.9598582
CTNNB1	0.9598457
PRKD1	0.9598007
ERG	0.9597998
LRP1B	0.95978147
TSHR	0.95976365
CNTNAP2	0.95976
ADAMTS2	0.95974237
FAT3	0.9597333
LRP1B	0.95972776
CTNNB1	0.95969135
ZNF479	0.9596775
CTNNB1	0.959677
LTBP1	0.959597
RHOT1	0.95956105
SIPA1L2	0.9595022
XIRP2	0.9594978
TGFBR2	0.959493
NTRK3	0.95938754
MUC16	0.95938736
SLC26A5	0.95937973
MYH1	0.9593731
A1CF	0.9593567
FH	0.95931673
GRIN2A	0.959257
DNMT3A	0.9591855
PRKD1	0.95917785
PELI2	0.95917505
FAT4	0.95917094
CNTNAP2	0.9591693
RUNX1T1	0.95915437
NOTCH2	0.9590907
NTRK2	0.9590781
LMO1	0.95907265
ZRANB3	0.9590459
VPS33A	0.9590322
CSMD3	0.9589704
EBF1	0.958965
STRN	0.9589287
CPS1	0.95885676
APC	0.9588225
LRP1B	0.95876706
LRP1B	0.95875376
SLC8A1	0.95870554
TNN	0.9586879
SLC40A1	0.95868737
RSPO2	0.9586137
SMC1A	0.95859385
MYO1C	0.9585803
ATR	0.95854974
PCSK7	0.9585432
ATRX	0.9585426
COL1A1	0.95847106
MYO1C	0.95845443
TBX3	0.9584301
MYH11	0.95842636
HGF	0.9583956
MUC16	0.95837855
CSMD3	0.9583504
ERG	0.9583359
PCDH15	0.95833534
COL2A1	0.9583222
SLC9B1	0.9582952
CTNNB1	0.95821375
DGCR8	0.9581693
PRKD1	0.9581061
COL1A1	0.9580844
PIGA	0.9580517
ATRX	0.95801055
CSMD3	0.95795995
A1CF	0.95795494
SETDB1	0.9579448
DLG1	0.95792806
N4BP2L2	0.957862
CSMD3	0.9578436
ITIH5	0.95782363
ELMO1	0.9578218
RC3H1	0.957821
CSMD3	0.9576923
STARD13	0.95762026
CREBBP	0.95760703
GABRB2	0.9575895
CSMD3	0.9575641
PPP2R1A	0.9575607
LRP1B	0.95752835
EZH2	0.95748913
CPS1	0.9574837
CSMD3	0.95745325
PPP2R1A	0.9574311
GRIA1	0.95742553
NBEA	0.95741695
DCDC1	0.9573433
COL1A1	0.957335
MMP16	0.9572399
NTRK3	0.95723265
NRAS	0.95721674
CNTNAP2	0.9572135
PRKCB	0.95718515
ZNF536	0.9570656
MUC16	0.95703346
ERG	0.9570238
CCDC171	0.9570034
F13A1	0.9569981
GRM1	0.95697975
KDM5C	0.9568792
FAM135B	0.9568784
ATRX	0.956874
EPHX1	0.9568483
PHKA1	0.95683956
PRF1	0.9568174
TRAPPC6A	0.95678973
CHSY1	0.9567869
DRD1	0.95672566
MUC16	0.9567045
NEB	0.9566178
ALK	0.9566158
CTNND2	0.9565803
NR4A3	0.95657307
KDR	0.9565446
MCRS1	0.9565029
SIRPA	0.9565012
EPHA7	0.9564847
PAX7	0.9564811
PPP1R15B	0.9564788
A1CF	0.95647216
MUC16	0.95646816
OPRM1	0.95644706
CHRM5	0.95644486
TP63	0.9564123
GNAQ	0.9563961
ATRX	0.95635647
KLK2	0.9563249
PDGFRA	0.95631677
IGF2BP2	0.95630765
CTNND2	0.95629525
GPR50	0.956293
GRIN2A	0.9562064
CSF1R	0.95619607
ZMYM3	0.9561912
MYH3	0.9561491
TLX1	0.9561295
MUC16	0.95608157
RIPK2	0.956028
PPP2R1A	0.9560049
UBR5	0.95594215
RNF130	0.955931
GATA3	0.9558295
COL1A1	0.9558177
EPHA7	0.9558019
CARD11	0.9557626
RPS6KA4	0.95574456
ELL	0.9557444
ERMARD	0.9557158
MAGI2	0.9556522
ANK1	0.9556413
EPB41L2	0.9556319
TNC	0.9555697
TNC	0.95556456
PTPRD	0.95556176
ITK	0.95555633
CNTNAP2	0.95553267
CSMD3	0.9554472
CNTNAP2	0.9554185
ZNF521	0.95538896
TFPT	0.9553691
CYP2C19	0.95533204
CCND2	0.9552884
EIF3E	0.9552283
POT1	0.955222
ANK1	0.9551863
MTOR	0.9550117
DUS3L	0.9549819
CDH2	0.95496905
CARD11	0.9549374
RAVER2	0.9548765
SLC6A2	0.9548716
POLE	0.95484555
LRP1B	0.9548409
ERG	0.95483875
MECOM	0.95480996
MUC16	0.9548062
LRP1B	0.9548006
PRKD1	0.9547911
CTNNB1	0.9547695
CSMD3	0.9547228
NBEA	0.9547117
APC	0.95469445
NDST4	0.95464075
TNC	0.9546216
MUC16	0.95462054
PRPF8	0.95460784
NETO1	0.9545676
MYH4	0.9545642
MUC16	0.95455337
PAX7	0.9545194
MUC16	0.9544989
FAT3	0.9544927
EIF2AK3	0.95447993
NBEA	0.95446855
IPP	0.9544591
ATRX	0.9544578
SOS1	0.95444846
PTPRT	0.9544334
CARD11	0.9543984
CSMD3	0.954385
AF196969.1	0.9543152
HS3ST1	0.95427907
ACTC1	0.9542633
CNTNAP2	0.95421433
NELL2	0.9541885
CAMK4	0.95415556
CTNNB1	0.9541023
SLC12A3	0.9540949
EPHA7	0.95408845
CARD11	0.95408016
CSMD3	0.95406973
ERG	0.95404404
NBEA	0.95403415
PAMR1	0.9539942
EPAS1	0.95398396
BAG6	0.95397204
LMO2	0.95396364
