Gene	Mutations	Coverage	p-value	q-value	Rank
AGO3	44	4938	0.003779518	0.069063578	484
FHDC1	56	3959	0.003781661	0.069063578	485
USP6	56	3157	0.003793096	0.069063578	486
NTNG1	55	4915	0.003798826	0.069063578	487
KDR	48	4227	0.003808701	0.069063578	488
SHPRH	59	4875	0.003810183	0.069063578	489
PRELP	54	3252	0.003812573	0.069063578	490
CFHR4	51	4643	0.003821811	0.069063578	491
PCDHGA8	61	4122	0.003829557	0.069063578	492
HOXA1	51	3004	0.003830484	0.069063578	493
SLC10A2	57	3639	0.003831947	0.069063578	494
NLRP13	58	3913	0.003838198	0.069063578	495
ZZZ3	59	3509	0.003838373	0.069063578	496
HYDIN	57	3954	0.003839077	0.069063578	497
OR6K2	61	4014	0.003844996	0.069063578	498
SCN9A	60	3151	0.003858424	0.069063578	499
C9orf64	53	4500	0.003859680	0.069063578	500
ZNF835	53	4311	0.003860534	0.069063578	501
SIGLECL1	42	4253	0.003867676	0.069063578	502
SIGLEC8	50	3740	0.003869492	0.069063578	503
PCDHGB7	50	3119	0.003871159	0.069063578	504
PLB1	56	3546	0.003874929	0.069063578	505
PPP1R3A	53	3827	0.003877345	0.069063578	506
OR5M8	48	4011	0.003880350	0.069063578	507
LCT	51	3149	0.003882455	0.069063578	508
PRRC2C	51	3263	0.003884806	0.069063578	509
CEMIP2	61	3815	0.003893812	0.069063578	510
ZNF285	48	4070	0.003895152	0.069063578	511
CD5L	53	3489	0.003910395	0.069063578	512
CD101	55	3180	0.003913040	0.069063578	513
FSTL5	55	4768	0.003916880	0.069063578	514
GRM7	56	4539	0.003917064	0.069063578	515
SEC31A	41	4683	0.003917846	0.069063578	516
STIM1	47	3851	0.003922131	0.069063578	517
DIP2C	59	4943	0.003923884	0.069063578	518
WNT1	46	4625	0.003924757	0.069063578	519
OR2G3	51	3304	0.003924849	0.069063578	520
AOX1	57	4218	0.003928745	0.069063578	521
TRPV5	62	3253	0.003932397	0.069063578	522
ZP4	58	4158	0.003933807	0.069063578	523
RAB3GAP2	55	4396	0.003941734	0.069063578	524
SDK1	41	3814	0.003942385	0.069063578	525
TBX3	50	4129	0.003944008	0.069063578	526
ARHGAP33	52	3470	0.003947633	0.069063578	527
OR8J1	56	3283	0.003950646	0.069063578	528
JCAD	49	3633	0.003957325	0.069063578	529
THSD7B	51	4077	0.003958290	0.069063578	530
KIF21A	64	4171	0.003959737	0.069063578	531
NELL2	51	4715	0.003960689	0.069063578	532
DYTN	53	4705	0.003973969	0.069063578	533
SLC1A3	53	3625	0.003974590	0.069063578	534
ZDBF2	62	4595	0.003974866	0.069063578	535
BIRC6	56	4504	0.003975228	0.069063578	536
FHOD3	63	4321	0.003976137	0.069063578	537
PTPRR	49	4664	0.003982666	0.069063578	538
RP1	53	3902	0.003985061	0.069063578	539
SMC4	50	4373	0.003987038	0.069063578	540
SIPA1L1	51	3681	0.003993506	0.069063578	541
EDN3	41	4140	0.004000461	0.069063578	542
GLI3	50	3866	0.004000500	0.069063578	543
IGKV2D-24	49	4931	0.004008740	0.069063578	544
SCN2A	52	3511	0.004011717	0.069063578	545
MYB	47	3521	0.004017128	0.069063578	546
MYO18B	54	3565	0.004017926	0.069063578	547
TFAP2B	52	4377	0.004020268	0.069063578	548
SETX	54	3927	0.004027418	0.069063578	549
PRKDC	57	3037	0.004033963	0.069063578	550
ACSL1	44	3278	0.004034610	0.069063578	551
SLC5A11	49	4908	0.004036070	0.069063578	552
CACNA1C	49	4774	0.004039164	0.069063578	553
TEX13B	45	3616	0.004040179	0.069063578	554
ZNF592	53	3035	0.004041763	0.069063578	555
LILRA6	47	3441	0.004044801	0.069063578	556
SNIP1	50	3656	0.004045327	0.069063578	557
ZBBX	47	4781	0.004045704	0.069063578	558
KCNB2	51	4213	0.004045771	0.069063578	559
